"","name","member","reference","tsea_category","classification","host_gene","snp_id","mesh","omim","seq_inst","abund_change","relationship","evidence","host_sp","num_samples","host_age","host_site"
"206","Sex (Adjusted)","Akkermansia muciniphila","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"207","Spontaneous bacterial peritonitis (SBP)","Alistipes finegoldii; Alistipes shahii; Dorea formicigenerans","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C01.539.463.600; C06.844.64",NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"208","Surgical wound infection","Proteus penneri ATCC 35198; Providenciauartii ATCC 2582","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.947.692; C23.550.767.92",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"209","Symptomatic atherosclerosis (decrease)","Eubacterium; Roseburia; Bacteroides. 1_1_30; Bacteroides xylanisolvens XB1A; Bacteroides. 1_1_14","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23212374'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C14.907.137.126.307","108725","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Decrease","1","Figure 1C","Homo Sapiens",25,"67.6±8.6","Gut (faecal)"
"210","Symptomatic atherosclerosis (increase)","Collinsella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23212374'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C14.907.137.126.307","108725","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Figure 1C","Homo Sapiens",25,"67.6±8.6","Gut (faecal)"
"211","Systemic Inflammatory Response Syndrome (decrease)","Klebsiella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/21741921'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C23.550.470.790; C23.550.835.90",NA,"16S rRNA - V6-V8 Roche 454 FLX","Decrease","1","Figure 1","Homo Sapiens",29,"0-2 months","Gut (faecal)"
"212","Systemic Inflammatory Response Syndrome (increase)","Enterobacteriaceae; Enterococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/21741921'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C23.550.470.790; C23.550.835.90",NA,"16S rRNA - V6-V8 Roche 454 FLX","Increase","1","Figure 1","Homo Sapiens",29,"0-2 months","Gut (faecal)"
"213","Systemic Lupus Erythematosus (decrease)","Desulfovibrio","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25271284'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C17.300.480; C20.111.59","152700; 609939; 601744
","16S rRNA - Ion Torrent PGMquencing","Decrease","1","Although the amplicons of the 16S rRNA sequences could be relatively short to perform a totally reliable population structure analysis at the genus/species level, it is noteworthy that the relative abundance of sequences assigned to Bacteroides spp. were significantly higher in SLE samples (P < 0.02). In the control group, we also found a significantly higher (P < 0.05) relative abundance of sequences tentatively assigned to Desulfovibrio, the most common genus of sulfate-reducing bacteria in the human gut (45).","Homo Sapiens",40,"49.2±10.7","Gut (faecal)"
"214","Systemic Lupus Erythematosus (increase)","Bacteroides","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25271284'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C17.300.480; C20.111.59","152700; 609939; 601744
","16S rRNA - Ion Torrent PGMquencing","Increase","1","Although the amplicons of the 16S rRNA sequences could be relatively short to perform a totally reliable population structure analysis at the genus/species level, it is noteworthy that the relative abundance of sequences assigned to Bacteroides spp. were significantly higher in SLE samples (P < 0.02). In the control group, we also found a significantly higher (P < 0.05) relative abundance of sequences tentatively assigned to Desulfovibrio, the most common genus of sulfate-reducing bacteria in the human gut (45).","Homo Sapiens",40,"49.2±10.7","Gut (faecal)"
"215","Third Trimester (vs First Trimester,  increase)","Proteobacteria; Enterobacteriaceae; Streptococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/22863002'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Mixed",NA,NA,NA,NA,"16S rRNA - V1-V2 region, Roche 454 FLX","Increase",NA,"Figure 2B","Homo Sapiens",91,"24-30","Gut (faecal)"
"216","Third Trimester (vs First Trimester, decrease)","Faecalibacterium; Eubacterium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/22863002'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Genus",NA,NA,NA,NA,"16S rRNA - V1-V2 region, Roche 454 FLX","Decrease",NA,"Figure 2","Homo Sapiens",91,"24-30","Gut (faecal)"
"217","Third Trimester Gestational Diabetes (decrease)","Anaerosporobacter; Acetovibrio; Marvinbryantia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29764499'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C13.703.170; C18.452.394.750.448; C19.246.200","610582","16S rRNA - V1-V2 regions, Illumina MiSeq","Decrease","1","Figure 2b","Homo Sapiens",211,"34.4±4.4","Gut (faecal)"
"218","Third Trimester Gestational Diabetes (increase)","Mogibacterium; Actinomyces; Leuconostocaceae; Actinomycetales; Leuconostoc; Granulicatella; Desulfovibrio; Micrococcaceae; Rothia; Collinsella; Coriobacteriales; Coriobacteriaceae; Actinobacteria","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29764499'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C13.703.170; C18.452.394.750.448; C19.246.200","610582","16S rRNA - V1-V2 regions, Illumina MiSeq","Increase","1","Figure 2b","Homo Sapiens",211,"34.4±4.4","Gut (faecal)"
"219","Triglyceride (TG)","Eggerthella lenta; Bacteroides cellulosilyticus; Bacteroides uniformis; Bacteroides vulgatus; Bacteroidales bacterium ph8; Barnesiella intestinihominis; Parabacteroides merdae; Alistipes putredinis; Alistipes shahii; Blautia hydrogenotrophica; Ruminococcus torques; Coprococcus ART55 1; Lachnospiraceae bacterium 8 1 57FAA; Roseburia hominis; Anaerotruncus unclassified; Subdoligranulum unclassified","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"220","Type 1 Diabetes (decrease)","Prevotella; Megamonas; Acidaminococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24448554'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C18.452.394.750.124; C19.246.267; C20.111.327",NA,"16S rRNA - V4 region, Roche 454 platform","Decrease","1","Figure 3","Homo Sapiens",29,"7-18","Gut (faecal)"
"221","Type 1 Diabetes (g_decrease)","Prevotella; B. Coccoides-E rectalle; Bifidobacterium; Lactobacillus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23433344'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C18.452.394.750.124; C19.246.267; C20.111.327",NA,"16S rRNA - V2-V3 regions, real-time qPCR, LightCycler 2.0 PCR sequence detection system","Decrease","1","Table 6","Homo Sapiens",32,"7.48 ±0.87","Gut (faecal)"
"222","Type 1 Diabetes (g_increase)","Bacteroides; Clostridium; Veillonella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23433344'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C18.452.394.750.124; C19.246.267; C20.111.327",NA,"16S rRNA - V2-V3 regions, real-time qPCR, LightCycler 2.0 PCR sequence detection system","Increase","1","Table 6","Homo Sapiens",32,"7.48 ±0.87","Gut (faecal)"
"223","Type 1 Diabetes (increase)","Bacteroides","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24448554'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C18.452.394.750.124; C19.246.267; C20.111.327",NA,"16S rRNA - V4 region, Roche 454 platform","Increase","1","Figure 3","Homo Sapiens",29,"7-18","Gut (faecal)"
"224","Type 2 Diabetes (Chinese, decrease)","Clostradiales. SS3/4; Eubacterium rectale; Faecalibacterium prausnitzii; Haemophilus parainfluenzae; Roseburia intestinalis; Roseburia inulinivorans; Eubacterium; Faecalibacterium; Erysipelotrichaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23023125'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.452.394.750.149; C19.246.300","125853","16S rRNA - Whole Genome Sequencing, Illumina HiSeq","Decrease","1","Table 1","Homo Sapiens",345,"48.6±10.4","Gut (faecal)"
"225","Type 2 Diabetes (Chinese, increase)","Akkermansia muciniphila; Bacteroides intestinalis; Bacteroides. 20 3; Clostridium bolteae; Clostridium hathewayi; Clostridium ramosum; Clostridium. HGF2; Clostridium symbiosum; Desulfovibrio. 3 1n3; Eggerthella lenta; Escherichiali; Alistipes; Clostridium; Parabacteroides; Subdoligranulum; Lachnospriaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23023125'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.452.394.750.149; C19.246.300","125853","16S rRNA - Whole Genome Sequencing, Illumina HiSeq","Increase","1","Table 1","Homo Sapiens",345,"48.6±10.4","Gut (faecal)"
"226","Type 2 Diabetes (Chinese)","Lactobacillus amylolyticus DSM 11664; Lactobacillus amylovorus GRL 1112; Lactobacillus oris PB013-T2-3; Enterococcus faecalis TX0102; Parascardovia denticolens F0305; Lactobacillus oris F0423; Lactobacillus antri DSM 16041; Pediococcus acidilactici 7_4; Lactobacillus vaginalis ATCC 49540; Scardovia inopinata F0304; Enterococcus faecalis TX0411; Lactobacillus paracasei subsp. paracasei 8700:2; Lactobacillus brevis subsp. gravesensis ATCC 27305; Akkermansia muciniphila ATCC BAA-835; Bifidobacterium breve UCC2003; Escherichia coli IHE3034; Clostridium ramosum DSM 1402; Eggerthella sp. HGA1; Eggerthella lenta DSM 2243; Clostridium sporogenes ATCC 15579; Lactobacillus helveticus DSM 20075; Clostridium bolteae ATCC BAA-613; Streptococcus anginosus SK52; Streptococcus anginosus F0211; Bacteroides sp. 3_2_5; Parabacteroides distasonis ATCC 8503; Streptococcus anginosus 1_2_62CV; Eggerthella sp. 1_3_56FAA; Megasphaera sp. UPII 199-6; Finegoldia magna ATCC 53516; Bacteroides sp. 2_1_7; Lactobacillus reuteri SD2112; Eggerthella sp. YY7918; Acidaminococcus sp. D21; Enterococcus casseliflavus ATCC 12755; Bacteroides sp. 20_3; Coprobacillus sp. 29_1; Acidaminococcus fermentans DSM 20731; Pseudoramibacter alactolyticus ATCC 23263; Bacteroides sp. 2_1_33B; Corynebacterium glucuronolyticum ATCC 51866; Eubacterium limosum KIST612; Lactobacillus johnsonii DPC 6026; Parabacteroides sp. D13; Coprobacillus sp. D7; Xanthomonas oryzae pv. oryzae MAFF 311018; Lactobacillus johnsonii ATCC 33200; Lactobacillus reuteri JCM 1112; Lactobacillus johnsonii FI9785; Lactobacillus johnsonii NCC 533; Lactobacillus reuteri MM4-1A; Lactobacillus delbrueckii subsp. lactis DSM 20072; Lactobacillus jensenii 269-3; Lactobacillus reuteri DSM 20016; Lactobacillus gasseri SV-16A-US; Lactobacillus amylovorus GRL1118; Corynebacterium jeikeium K411; Lactobacillus helveticus DPC 4571; Lactobacillus jensenii 27-2-CHN; Lactobacillus gasseri SJ-9E-US; Enterococcus faecalis ATCC 29200; Lactobacillus jensenii 1153; Lactobacillus ultunensis DSM 16047; Lactobacillus jensenii 208-1; Lactobacillus reuteri MM2-3; Lactobacillus crispatus 214-1; Lactobacillus crispatus MV-1A-US; Finegoldia magna ATCC 29328; Lactobacillus jensenii SJ-7A-US; Lactobacillus gasseri MV-22; Lactobacillus coleohominis 101-4-CHN; Psychrobacter arcticus 273-4; Lactobacillus delbrueckii subsp. bulgaricus PB2003/044-T3-4; Lactobacillus acidophilus ATCC 4796; Haemophilus influenzae F3031; Haemophilus influenzae Rd KW20; Haemophilus influenzae R2866; Campylobacter concisus 13826; Haemophilus influenzae PittGG; Haemophilus influenzae R2846; Haemophilus aegyptius ATCC 11116; Haemophilus parainfluenzae T3T1; Haemophilus parainfluenzae ATCC 33392; Haemophilus influenzae PittEE; Veillonella sp. oral taxon 158 str. F0412; Haemophilus influenzae 10810; Aggregatibacter aphrophilus NJ8700; Haemophilus influenzae F3047; Roseburia inulinivorans DSM 16841; Eubacterium rectale ATCC 33656; Campylobacter gracilis RM3268; Aggregatibacter segnis ATCC 33393; butyrate-producing bacterium SS3/4; Clostridium sp. SS2/1; Roseburia intestinalis XB6B4; Eubacterium rectale; butyrate-producing bacterium SSC/2; Actinobacillus succinogenes 130Z; Roseburia intestinalis L1-82; Lachnospiraceae bacterium 5_1_63FAA; Prevotella melaninogenica D18; Actinobacillus ureae ATCC 25976; Faecalibacterium cf. prausnitzii KLE1255; Butyrivibrio crossotus DSM 2876; Butyrivibrio fibrisolvens; Actinomyces sp. oral taxon 178 str. F0338; Clostridium phytofermentans ISDg; Gemella haemolysans ATCC 10379; Oribacterium sinus F0268; Butyrivibrio proteoclasticus B316; Faecalibacterium prausnitzii L2-6; Oribacterium sp. oral taxon 108 str. F0425; Coprococcus eutactus ATCC 27759; Streptococcus sanguinis VMC66; Clostridium hylemonae DSM 15053; Bacteroides pectinophilus ATCC 43243","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23023125'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C18.452.394.750.149; C19.246.300","125853","Whole Genome Sequencing","Increase","1","Supplementary Tables","Homo Sapiens",345,"44.8±10.8","Gut (faecal)"
"227","Type 2 Diabetes (Sweden)","Lactobacillus gasseri JV-V03; Lactobacillus gasseri SJ-9E-US; Lactobacillus gasseri 202-4; Lactobacillus salivarius ACS-116-V-Col5a; Desulfurispirillum indicum S5; Clostridium beijerinckii NCIMB 8052; Clostridium sp. 7_2_43FAA; Clostridium botulinum B str. Eklund 17B; Clostridium botulinum E3 str. Alaska E43; Pyramidobacter piscolens W5455; Clostridium thermocellum DSM 1313;","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23719380'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C18.452.394.750.149; C19.246.300","125853","Whole Genome Sequencing - Illumina HiSeq 2000","Increase","1","Figure S1","Homo Sapiens",145,"70","Gut (faecal)"
"228","Type I Diabetes (decreased)","Eubacterium; Faecalibacterium; Odoribacter; Veillonella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/21574172'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.452.394.750.124; C19.246.267; C20.111.327",NA,"16S rRNA - V3 Roche 454 FLX","Decrease","1","Table S5","Homo Sapiens",8,"0-3","Gut (faecal)"
"229","Type I Diabetes (increased)","Alistipes; Bacteroides; Blautia; Clostridium; Enterobacter; Escherichia; Fusobacterium; Granulicatella; Lactobacillus; Parabacteroides; Roseburia; Ruminococcus; Streptococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/21741921'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C18.452.394.750.124; C19.246.267; C20.111.327",NA,"16S rRNA - V3 Roche 454 FLX","Increase","1","Table S5","Homo Sapiens",8,"0-3","Gut (faecal)"
"230","Ulcerative Colitis (decrease)","Bacteroides; Flavobacterium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28842640'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C06.405.205.265.231; C06.405.205.731.249; C06.405.469.158.188.231; C06.405.469.432.249","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - V3-V4 regions, Illumina MiSeq","Decrease","1","Figure 2","Homo Sapiens",133,"20-80","Gut (faecal)"
"231","Ulcerative Colitis (increase)","Escherichia; Streptococcus; Sutterella; Veillonella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28842640'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C06.405.205.265.231; C06.405.205.731.249; C06.405.469.158.188.231; C06.405.469.432.249","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - V3-V4 regions, Illumina MiSeq","Increase","1","Figure 2","Homo Sapiens",133,"20-80","Gut (faecal)"
"232","Ulcerative Colitis (increased)","Rhodococcus erythropolis; Faecalibacterium prausnitzii; Roseburia hominis; Ruminoccus torques; Ruminoccus torques; Campylobacter concisus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/21621540'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C06.405.205.265.231; C06.405.205.731.249; C06.405.469.158.188.231; C06.405.469.432.249","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - V4-V5 region, ABI PRISM 3700 DNA analyzer","Increase","1","Table 2","Homo Sapiens",62,"18-52","Gut (faecal)"
"233","Urinary Infection","Enterococcus faecalis HH22; Enterococcus faecalis TX0104; Enterococcus faecium DO; Enterococcus faecalis S613; Enterococcus faecalis R712","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.895; C12.777.892; C13.351.968.892",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"234","Uveitis (decrease)","Lachnospiraceae; Roseburia; ClostridiumXI; Peptostreptococcaceae; Lachnospiraceae_incertae_sedis; Pusillimonas; Clostridium sensu stricto; Clostridiaceae1; Blautia; Desemzia; Barnesiella; Symbiobacterium; Tepidimicrobium; Thermovum; Clostridiales_IncertaeSedisXVIII; Dorea; Odoribacter; Carnobacteriaceae; Granulicatella; Halanaerobiales; Clostridiales_IncertaeSedisIII; ClostridiumIII; Ureibacillus; Halocella; Alcaligenaceae; Halanaerobiaceae; Tepidanaerobacter; Methanomicrobiales; Desulfobulbaceae; Sporosarcina; Desulfobulbus; Desulfobacterales; Planococcaceae; Pseudomonas; ClostridiumXVIII; Pseudomonadaceae; Erysipelotrichaceae_incertae_sedis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29625474'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C11.941.879",NA,"16S rRNA - V3-V4 regions, Illumina HiSeq","Decrease","1","Figure 2","Homo Sapiens",78,"20-65","Gut (faecal)"
"235","Uveitis (increase)","Pseudoxanthomonas; Deinococcus_Thermus; Deinococci; Clostridiales_IncertaeSedisXI; Selenomonas; Halomonas; Oceanospirillales; Halomonadaceae; Burkholderia; Paraprevotella; Veilonella; Negativicutes; Selenomonadales","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29625474'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C11.941.879",NA,"16S rRNA - V3-V4 regions, Illumina HiSeq","Increase","1","Figure 2","Homo Sapiens",78,"20-65","Gut (faecal)"
"236","Wound infection","Enterobacter cancerogenus ATCC 35316","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.947",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Wound infection"
"237","Urogenital schistosomiasis (increased)","Megasphaera; Dialister; Acinetobacter; Prevotella; Alloprevotella; Desulfovibrio; Haemophilus; Peptococcus; Olsenella; Coriobacteriaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/30696838'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,NA,NA,"16S rRNA – V4 region – Illumina MiSeq","Increase",NA,"Figure 3","Homo Sapiens",90,"11-15 years","Gut (faecal)"
"238","Urogenital schistosomiasis (decreased)","Subdoligranulum; Parabacteroides; Erysipelotrichaceae; Ruminococcaceae; Peptostreptococcaceae; Clostridium; Mollicutes","<a href='https://www.ncbi.nlm.nih.gov/pubmed/30696838'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,NA,NA,"","Decrease",NA,"Figure 3","Homo Sapiens",90,"11-15 years","Gut (faecal)"
